B;C;D;E;F
21/12/2015;DG#05;0;0;#DIV/0!
21/12/2015;DG#06;0;0;#DIV/0!
21/12/2015;DG#07;0;0;#DIV/0!
21/12/2015;DG#08;0;0;#DIV/0!
21/12/2015;DG#09;0;0;#DIV/0!
21/12/2015;DG#10;0;0;#DIV/0!
21/12/2015;DG#11;0;0;#DIV/0!
21/12/2015;DG#12;0;0;#DIV/0!
21/12/2015;DG#13;0;0;#DIV/0!
21/12/2015;DG#14;0;0;#DIV/0!
21/12/2015;DG#15;0;0;#DIV/0!
21/12/2015;DG#16;0;0;#DIV/0!
21/12/2015;DG#17;0;0;#DIV/0!
21/12/2015;DG#18;203688;43404;213,09
21/12/2015;DG#19;0;0;#DIV/0!
21/12/2015;DG#20;72496;15252;210,38
21/12/2015;DG#21;132464;27816;209,99
21/12/2015;DG#22;191936;40066;208,75
21/12/2015;DG#23;0;0;#DIV/0!
22/12/2015;DG#01;0;0;#DIV/0!
22/12/2015;DG#02;0;0;#DIV/0!
22/12/2015;DG#03;0;16;#DIV/0!
22/12/2015;DG#04;0;0;#DIV/0!
22/12/2015;DG#05;0;0;#DIV/0!
22/12/2015;DG#06;0;2;#DIV/0!
22/12/2015;DG#07;0;0;#DIV/0!
22/12/2015;DG#08;0;0;#DIV/0!
22/12/2015;DG#09;0;0;#DIV/0!
22/12/2015;DG#10;0;0;#DIV/0!
22/12/2015;DG#11;0;0;#DIV/0!
22/12/2015;DG#12;0;0;#DIV/0!
22/12/2015;DG#13;0;0;#DIV/0!
22/12/2015;DG#14;0;0;#DIV/0!
22/12/2015;DG#15;0;0;#DIV/0!
22/12/2015;DG#16;0;0;#DIV/0!
22/12/2015;DG#17;0;2;#DIV/0!
22/12/2015;DG#18;203688;43390;213,02
22/12/2015;DG#19;1312;368;280,49
22/12/2015;DG#20;204664;42946;209,84
22/12/2015;DG#21;74472;15646;210,09
22/12/2015;DG#22;109432;22856;208,86
22/12/2015;DG#23;0;0;#DIV/0!
23/12/2015;DG#01;0;0;#DIV/0!
23/12/2015;DG#02;0;0;#DIV/0!
23/12/2015;DG#03;0;4;#DIV/0!
23/12/2015;DG#04;0;0;#DIV/0!
23/12/2015;DG#05;0;0;#DIV/0!
23/12/2015;DG#06;0;0;#DIV/0!
23/12/2015;DG#07;0;0;#DIV/0!
23/12/2015;DG#08;0;0;#DIV/0!
23/12/2015;DG#09;0;0;#DIV/0!
23/12/2015;DG#10;0;0;#DIV/0!
23/12/2015;DG#11;0;0;#DIV/0!
23/12/2015;DG#12;0;0;#DIV/0!
23/12/2015;DG#13;0;0;#DIV/0!
23/12/2015;DG#14;0;0;#DIV/0!
23/12/2015;DG#15;0;0;#DIV/0!
23/12/2015;DG#16;0;0;#DIV/0!
23/12/2015;DG#17;0;0;#DIV/0!
23/12/2015;DG#18;203704;43464;213,37
23/12/2015;DG#19;0;0;#DIV/0!
23/12/2015;DG#20;204656;42952;209,87
23/12/2015;DG#21;195240;40940;209,69
23/12/2015;DG#22;0;0;#DIV/0!
23/12/2015;DG#23;0;0;#DIV/0!
24/12/2015;DG#01;0;2;#DIV/0!
24/12/2015;DG#02;0;0;#DIV/0!
24/12/2015;DG#03;0;48;#DIV/0!
24/12/2015;DG#04;0;0;#DIV/0!
24/12/2015;DG#05;0;0;#DIV/0!
24/12/2015;DG#06;0;8;#DIV/0!
24/12/2015;DG#07;0;0;#DIV/0!
24/12/2015;DG#08;0;0;#DIV/0!
24/12/2015;DG#09;0;0;#DIV/0!
24/12/2015;DG#10;0;0;#DIV/0!
24/12/2015;DG#11;0;0;#DIV/0!
24/12/2015;DG#12;0;0;#DIV/0!
24/12/2015;DG#13;0;0;#DIV/0!
24/12/2015;DG#14;0;0;#DIV/0!
24/12/2015;DG#15;0;0;#DIV/0!
24/12/2015;DG#16;0;0;#DIV/0!
24/12/2015;DG#17;0;44;#DIV/0!
24/12/2015;DG#18;95448;20372;213,44
24/12/2015;DG#19;0;0;#DIV/0!
24/12/2015;DG#20;95928;20166;210,22
24/12/2015;DG#21;93736;19674;209,89
24/12/2015;DG#22;0;60;#DIV/0!
24/12/2015;DG#23;0;0;#DIV/0!
25/12/2015;DG#01;0;0;#DIV/0!
25/12/2015;DG#02;0;0;#DIV/0!
25/12/2015;DG#03;0;12;#DIV/0!
25/12/2015;DG#04;0;0;#DIV/0!
25/12/2015;DG#05;0;0;#DIV/0!
25/12/2015;DG#06;0;0;#DIV/0!
25/12/2015;DG#07;0;0;#DIV/0!
25/12/2015;DG#08;0;0;#DIV/0!
25/12/2015;DG#09;0;0;#DIV/0!
25/12/2015;DG#10;0;0;#DIV/0!
25/12/2015;DG#11;0;0;#DIV/0!
25/12/2015;DG#12;0;0;#DIV/0!
25/12/2015;DG#13;0;0;#DIV/0!
25/12/2015;DG#14;0;0;#DIV/0!
25/12/2015;DG#15;0;0;#DIV/0!
25/12/2015;DG#16;0;0;#DIV/0!
25/12/2015;DG#17;0;0;#DIV/0!
25/12/2015;DG#18;41632;8876;213,2
25/12/2015;DG#19;0;0;#DIV/0!
25/12/2015;DG#20;41120;8668;210,8
25/12/2015;DG#21;40672;8556;210,37
25/12/2015;DG#22;0;2;#DIV/0!
25/12/2015;DG#23;0;0;#DIV/0!
26/12/2015;DG#01;0;0;#DIV/0!
26/12/2015;DG#02;0;0;#DIV/0!
26/12/2015;DG#03;0;4;#DIV/0!
26/12/2015;DG#04;0;0;#DIV/0!
26/12/2015;DG#05;0;0;#DIV/0!
26/12/2015;DG#06;0;0;#DIV/0!
26/12/2015;DG#07;0;0;#DIV/0!
26/12/2015;DG#08;0;0;#DIV/0!
26/12/2015;DG#09;0;0;#DIV/0!
26/12/2015;DG#10;0;0;#DIV/0!
26/12/2015;DG#11;0;0;#DIV/0!
26/12/2015;DG#12;0;0;#DIV/0!
26/12/2015;DG#13;0;0;#DIV/0!
26/12/2015;DG#14;0;0;#DIV/0!
